userid;notificationid;type;message;timestamp;isread;relatedid;category
studentA;8219599b-f4ea-4130-9c35-b007fdd631d1;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:14:33.514807+00:00;false;isbn-xyz;book_available
studentB;a5c57690-9759-43e6-8c32-0699e175a4b5;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:14:33.536848+00:00;false;isbn-xyz;book_available
student9;1f9dc7b3-6382-4f44-ac4f-c9fd089d4f5b;test;please read;2025-11-17T07:22:10.365720+00:00;true;related1;info
student1;7e43d0b9-ee3d-405f-9365-c9d5cc79eaa8;due_reminder;Reminder: your borrowed book (ISBN: isbn-111) is due on 2025-11-19T07:22:10.453844+00:00;2025-11-17T07:22:10.476533+00:00;false;borrow1;borrow
student2;2b726369-51bf-4e22-86d1-3a67fc58686f;overdue;Overdue: your borrowed book (ISBN: isbn-222) was due on 2025-11-15T07:22:10.453844+00:00. Please return it immediately.;2025-11-17T07:22:10.519871+00:00;false;borrow2;borrow
studentA;fdb2ef4b-c73a-4146-b81e-8110552d737b;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:22:10.625588+00:00;false;isbn-xyz;book_available
studentB;edf8e528-7729-49db-9dd6-40c70c1fc419;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:22:10.650760+00:00;false;isbn-xyz;book_available
student9;cdd69297-85dd-41cc-9f2b-e0fac2174d7e;test;please read;2025-11-17T07:27:50.502464+00:00;true;related1;info
student1;6a2dc8b9-7862-462e-8ae8-74847df4ce03;due_reminder;Reminder: your borrowed book (ISBN: isbn-111) is due on 2025-11-19T07:27:50.580963+00:00;2025-11-17T07:27:50.600935+00:00;false;borrow1;borrow
student2;3a8ab4ed-acac-45d3-bec7-9feffacde4d1;overdue;Overdue: your borrowed book (ISBN: isbn-222) was due on 2025-11-15T07:27:50.580963+00:00. Please return it immediately.;2025-11-17T07:27:50.641836+00:00;false;borrow2;borrow
studentA;10aa6922-4043-41e6-9473-8052bff332c8;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:27:50.763780+00:00;false;isbn-xyz;book_available
studentB;0a1cad9c-564f-4c7f-942c-a0adba6a884b;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:27:50.786542+00:00;false;isbn-xyz;book_available
student9;906fefd0-bd5d-44c7-a166-700b2a65f1ad;test;please read;2025-11-17T07:41:37.419825+00:00;true;related1;info
student1;78dc58bb-0cc5-4e5e-ab07-e167aa48f161;due_reminder;Reminder: your borrowed book (ISBN: isbn-111) is due on 2025-11-19T07:41:37.505109+00:00;2025-11-17T07:41:37.538390+00:00;false;borrow1;borrow
student2;fc418546-6d71-4a97-996e-87e2494b7a5d;overdue;Overdue: your borrowed book (ISBN: isbn-222) was due on 2025-11-15T07:41:37.505109+00:00. Please return it immediately.;2025-11-17T07:41:37.576059+00:00;false;borrow2;borrow
studentA;939c42b2-8d14-4c45-9027-83b80b0ac6a7;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:41:37.692163+00:00;false;isbn-xyz;book_available
studentB;7b07a46f-8521-4121-9c56-1583ffa95d16;waitlist;Book with ISBN isbn-xyz is now available!;2025-11-17T07:41:37.717222+00:00;false;isbn-xyz;book_available
